N,Time (ms)
1169,9555
1170,9594
1171,9555
1172,9633
1173,9594
1174,9594
1175,9633
1176,9633
1177,9672
1178,9672
1179,9672
1180,9633
1181,9672
1182,9672
1183,9711
1184,9711
1185,9711
1186,9711
1187,9711
1188,9711
1189,9711
1190,9750
1191,9789
1192,9789
1193,9789
1194,9789
1195,9789
1196,9789
1197,9789
1198,9828
1199,9828
1200,9867
1201,9867
1202,9828
1203,9828
1204,9867
1205,9867
1206,9906
1207,9867
1208,9906
1209,9906
1210,9906
1211,9945
1212,9906
1213,9945
1214,9906
1215,9984
1216,9984
1217,9984
1218,9984
1219,9984
1220,9984
1221,9984
1222,9984
1223,10062
1224,10023
1225,10023
1226,10062
1227,10062
1228,10062
1229,10101
1230,10062
1231,10101
1232,10062
1233,10101
1234,10062
1235,10101
1236,10140
1237,10140
1238,10101
1239,10179
1240,10140
1241,10179
1242,10179
1243,10218
1244,10179
1245,10218
1246,10257
1247,10257
1248,10218
1249,10257
1250,10218
1251,10257
1252,10257
1253,10296
1254,10257
1255,10296
1256,10296
1257,10296
1258,10335
1259,10296
1260,10335
1261,10335
1262,10374
1263,10335
1264,10374
1265,10374
1266,10374
1267,10374
1268,10413
1269,10374
1270,10413
1271,10452
1272,10413
1273,10452
1274,10413
1275,10452
1276,10491
1277,10452
1278,10491
1279,10491
1280,10491
1281,10491
1282,10530
1283,10530
1284,10491
1285,10569
1286,10530
1287,10530
1288,10569
1289,10569
1290,10569
1291,10608
1292,10569
1293,10608
1294,10608
1295,10608
1296,10647
1297,10686
1298,10608
1299,10686
1300,10647
1301,10686
1302,10686
1303,10686
1304,10686
1305,10725
1306,10725
1307,10725
1308,10725
1309,10764
1310,10764
1311,10764
1312,10764
1313,10764
1314,10764
1315,10764
1316,10803
1317,10803
1318,10803
1319,10803
1320,10842
1321,10842
1322,10842
1323,10842
1324,10881
1325,10842
1326,10881
1327,10881
1328,10881
1329,10881
1330,10920
1331,10920
1332,10920
1333,10920
1334,10959
1335,10959
1336,14781
1337,10998
1338,10959
1339,10959
1340,10998
1341,10998
1342,11076
1343,11037
1344,10998
1345,11037
1346,11037
1347,11076
1348,11037
1349,11076
1350,11076
1351,11076
1352,11076
1353,11076
1354,11115
1355,11115
1356,11115
1357,11115
1358,11154
1359,11154
1360,11193
1361,11154
1362,11193
1363,11154
1364,11193
1365,11193
1366,11193
1367,11232
1368,11193
1369,11232
1370,11232
1371,11232
1372,11271
1373,11271
1374,11271
1375,11271
1376,11271
1377,11310
1378,11271
1379,11310
1380,11310
1381,11349
1382,11310
1383,11349
1384,11349
1385,11388
1386,11388
1387,11388
1388,11349
1389,11388
1390,11388
1391,11427
1392,11427
1393,11427
1394,11427
1395,11427
1396,11466
1397,11466
1398,11466
1399,11505
1400,11466
1401,11505
1402,11505
1403,11505
1404,11544
1405,11505
1406,11544
1407,11544
1408,11544
1409,11544
1410,11583
1411,11583
1412,11622
1413,11622
1414,11622
1415,11583
1416,11622
1417,11622
1418,11622
1419,11661
1420,11622
1421,11700
1422,11661
1423,11661
1424,11700
1425,11661
1426,11700
1427,11739
1428,11739
1429,11700
1430,11739
1431,11739
1432,11739
1433,11778
1434,11778
1435,11817
1436,11778
1437,11778
1438,11778
1439,11817
1440,11817
1441,11817
1442,11817
1443,11856
1444,11856
1445,11856
1446,11895
1447,11895
1448,11895
1449,11856
1450,11895
1451,11934
1452,11934
1453,11895
1454,11934
1455,11934
1456,11973
1457,11973
1458,11973
1459,11973
1460,11973
1461,12012
1462,12012
1463,12012
1464,12012
1465,12012
1466,12051
1467,12051
1468,12090
1469,12090
1470,12090
1471,12090
1472,12090
1473,12090
1474,12090
1475,12090
1476,12129
1477,12129
1478,12129
1479,12129
1480,12168
1481,12129
1482,12168
1483,12168
1484,12168
1485,12207
1486,12207
1487,12168
1488,12246
1489,12207
1490,12246
1491,12207
1492,12246
1493,12246
1494,12246
1495,12285
1496,12285
1497,12285
1498,12285
1499,12285
1500,12324
1501,12285
1502,12324
1503,12363
1504,12324
1505,12363
1506,12324
1507,12363
1508,12402
1509,12363
